"","V1","V2","V3","V5","V6","V8","V9","V10","V11","V12","V13","V14","V15","V16","mi[, 19]"
"131",22,19,34,55,48,121,7,7,24,12,3,34,7,5,0.710132559991582
"132",25,21,45,55,43,118,7,7,22,25,12,36,9,5,1.02992328428398
"133",21,22,39,58,40,79,10,4,17,4,2,36,9,5,0.480598606832922
"134",16,17,39,42,44,110,5,6,15,7,2,31,4,4,0.508963514644527
"135",21,18,40,41,32,93,6,6,16,16,4,31,3,5,0.930995642377324
"136",16,16,32,68,49,95,15,6,28,18,12,39,7,4,0.503979893041816
"137",15,17,34,55,41,85,10,5,31,34,30,37,6,2,0.576946174864231
"138",20,15,35,55,37,110,11,9,30,31,19,34,2,5,0.353994900127034
"139",24,14,43,57,35,108,9,6,11,12,6,25,2,5,0.671939626715581
"140",10,9,27,90,48,126,13,9,36,21,33,39,9,5,0.428795622082442
"141",20,24,43,40,27,67,9,1,23,10,6,35,5,4,0.899122246957424
"142",19,18,34,58,48,106,16,9,35,31,38,39,7,4,0.412256910480051
"143",14,17,34,73,39,95,10,7,36,17,16,39,6,5,0.566409198202025
"144",14,18,27,63,43,99,11,8,27,14,17,39,8,1,0.262880087336774
"145",17,14,34,66,44,117,14,7,32,28,16,39,8,2,0.785800548901751
"146",14,21,22,70,36,83,13,8,25,20,13,21,4,5,1.05463416856798
"147",28,29,51,44,47,88,12,4,34,18,8,34,6,4,0.364864810542695
"148",23,15,29,73,34,97,11,8,30,33,36,36,7,4,0.539563532355591
"149",20,15,42,70,44,97,8,6,30,15,6,36,5,5,2.73939063531325
"150",21,20,31,55,41,76,10,7,23,15,9,32,3,5,0.247431421175199
"151",9,15,23,60,48,97,10,9,19,16,16,34,7,5,0.332221645974828
"152",21,15,29,60,32,102,13,8,37,33,45,39,5,5,1.10379988170736
"153",10,24,29,50,27,84,9,6,38,24,17,39,4,4,0.239778216738868
"154",10,19,28,51,26,75,9,4,34,23,17,37,4,5,0.403127960481913
"155",11,30,34,45,27,65,15,0,25,16,20,36,1,4,0.805635018461576
"156",9,15,24,51,42,111,8,7,34,18,13,39,10,5,0.318235948184446
"157",11,25,29,60,21,64,3,8,38,17,8,38,1,5,0.412735158363259
"158",11,29,30,51,21,79,13,8,39,39,33,39,4,3,0.446639551600188
"159",12,19,37,52,31,77,10,8,37,20,31,37,6,5,0.248221394261007
"160",13,15,29,67,28,101,11,8,31,25,22,39,10,4,0.723967694001632
"161",11,19,35,60,30,69,10,9,26,15,19,39,6,5,0.607220933269398
"162",15,19,30,58,37,85,10,5,22,12,19,35,5,4,0.320017815247285
"163",23,14,39,37,38,90,3,8,28,18,13,38,2,5,0.315715324239542
"164",12,16,23,64,21,64,12,9,31,22,27,35,4,5,0.682360358886925
"165",27,31,60,30,37,81,12,7,24,16,17,30,4,5,1.34386026316078
"166",17,23,44,53,29,75,10,6,22,6,2,39,2,5,0.291163968978285
"167",10,11,25,65,44,87,7,7,26,14,7,36,4,5,0.895561582399223
"168",17,19,33,60,12,87,10,7,28,9,17,39,5,5,0.88733156156335
"169",13,16,30,65,34,64,9,8,32,25,37,39,3,3,0.402211552904591
"170",11,17,29,65,38,103,9,7,32,24,13,39,8,5,0.540838707392641
"171",17,20,37,30,38,78,13,6,31,18,5,39,0,5,0.185685376734266
"172",10,15,36,68,33,95,6,8,27,17,15,38,6,4,0.400401888854324
"173",14,10,19,77,37,78,9,9,30,17,23,37,5,2,0.423952832885912
"174",13,11,25,78,49,113,14,9,32,13,12,39,10,5,1.01882641271222
"175",16,18,32,31,30,87,8,3,36,23,7,38,0,4,0.878553481677363
"176",23,27,42,25,31,77,9,0,20,11,1,26,0,5,0.507344585630194
"177",16,26,23,47,43,70,10,6,27,6,13,37,3,5,0.58978945818625
"178",24,23,48,50,32,97,8,7,31,14,16,39,2,2,0.632139653065206
"179",15,29,33,45,31,101,13,6,24,7,10,39,2,5,0.356240886466048
"180",13,10,31,64,29,84,8,8,28,16,8,36,6,4,0.268544310548988
"181",19,26,35,50,43,91,6,5,20,10,5,37,5,4,1.22442500293012
"182",16,16,40,62,36,84,11,9,19,13,10,37,10,5,0.359756070857875
"183",11,14,32,50,32,88,11,6,11,15,5,22,2,4,0.941080350656632
"184",18,15,31,45,45,103,10,6,33,17,11,37,2,4,0.297454602616795
"185",10,16,27,70,45,98,10,9,26,20,30,38,4,5,1.12274637514873
"186",13,8,18,91,47,87,16,9,31,20,38,39,9,5,0.650025705618357
"187",17,23,25,45,29,88,12,9,28,16,25,39,4,5,1.30309240878323
"188",16,15,32,53,25,74,11,8,35,21,33,35,4,5,0.618025915803416
"189",22,21,42,50,8,75,3,9,23,17,20,21,2,5,0.794198567708342
"190",16,19,44,55,48,99,13,7,17,6,7,24,10,5,0.841801725760705
"191",29,26,41,45,17,70,11,7,23,13,14,36,3,4,0.545809077293279
"192",13,22,31,48,30,74,12,8,18,22,18,27,4,4,0.258893670785675
"193",9,20,30,59,20,75,10,6,21,15,28,39,4,5,0.373497724866346
"194",18,18,44,45,42,104,14,5,21,20,33,28,0,3,0.599997800868392
"195",10,11,22,62,25,74,12,9,34,22,27,37,5,4,0.535551552542008
"196",26,15,36,75,42,110,9,7,22,23,14,27,9,2,0.257887988009483
"197",12,14,21,65,45,93,13,9,36,25,32,39,5,4,1.32251615038755
"198",16,13,42,42,14,72,11,5,26,11,6,15,5,5,2.01850196773136
"199",11,8,26,70,38,74,11,7,32,25,32,37,5,3,0.37197603336468
"200",16,24,41,51,7,64,11,4,31,24,28,34,5,5,0.776400083993839
"201",16,16,40,42,27,88,8,3,11,8,6,20,1,5,0.494824227538221
