"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"92",20,20,38,78,50,21,78,87,71,10,6,16,13,6,27,2,2,9,3,4,3,3,2,4,2,5,5,6,4,5,6,4,2,2,4,3,4,5,3,3,2,4,3,5,4,4,4,10,12,1.00010488884954
"93",18,13,24,55,57,23,76,86,87,7,4,22,15,10,31,4,4,11,3,2,4,2,4,4,2,3,5,2,2,6,3,3,4,4,4,4,4,2,2,4,2,2,3,2,2,2,6,3,10,2.42036051312053
"94",23,14,40,77,60,20,71,83,75,9,5,28,24,30,34,5,5,9,2,5,5,4,5,4,3,4,2,3,2,2,4,3,4,6,2,4,5,4,3,2,3,4,2,3,2,3,4,5,4,0.334417159685547
"95",22,12,41,75,52,33,94,97,87,11,7,26,20,23,33,4,4,6,2,4,6,4,2,6,5,4,5,5,4,4,2,2,2,6,2,3,5,2,2,2,3,4,3,4,5,4,5,5,10,0.253031244458599
"96",16,12,31,59,70,37,101,102,98,10,7,15,16,6,37,2,5,5,2,4,2,2,2,4,2,4,5,4,2,5,2,2,6,2,2,2,2,4,2,4,2,3,3,4,2,2,3,3,11,1.18876266809795
"97",15,9,18,42,71,36,101,102,90,11,7,32,26,30,36,6,5,13,3,4,2,2,2,6,2,3,5,4,3,5,4,4,4,3,2,2,5,2,2,2,3,2,7,2,3,2,3,5,9,0.01
"98",18,16,39,73,52,40,111,108,72,9,6,33,29,7,38,3,5,2,3,5,3,4,2,4,2,4,5,2,4,5,2,4,2,2,5,3,3,4,4,3,2,4,2,4,4,4,4,5,11,0.479048705141419
"99",20,9,23,52,56,38,105,105,90,6,7,21,7,4,31,9,5,5,6,2,6,3,2,5,3,2,2,2,2,2,2,4,2,4,3,2,2,2,2,4,2,2,3,3,2,2,2,1,4,0.564297614711077
"100",13,19,39,71,52,45,115,110,89,10,7,28,20,17,38,7,2,7,7,2,2,2,4,4,2,5,4,2,5,3,4,7,7,6,2,4,5,2,4,4,2,4,7,2,2,2,3,9,6,1.34892980873351
"101",18,11,24,53,61,25,80,88,87,5,4,11,10,3,28,2,5,11,4,6,2,4,2,5,2,2,2,5,2,2,3,2,2,5,4,3,4,2,3,4,3,6,2,4,5,4,3,2,5,0.833944548659011
"102",13,7,26,46,60,20,71,82,69,10,4,17,18,25,22,4,5,3,5,5,2,6,5,5,5,2,4,5,2,2,3,4,2,2,2,3,2,3,5,4,2,4,3,5,3,4,2,2,8,0.58428479805553
"103",19,16,28,63,55,42,115,110,110,7,4,22,12,5,32,2,5,10,5,2,6,2,2,4,2,3,2,2,2,3,3,4,3,4,6,3,3,2,2,4,2,2,2,2,4,2,3,3,4,3.83483262546394
"104",11,8,28,47,55,30,94,97,79,7,6,31,18,11,38,3,2,11,5,2,2,3,2,4,2,3,4,2,2,4,2,3,2,4,2,2,5,2,2,4,2,2,2,3,4,2,4,2,8,0.82717321806303
